url,title,published,author,categories,audio_links
https://eo.globalvoices.org/2016/02/2269/,Makedonio: Neakcepteblaj kondiĉoj en studentaj dormejoj malboniĝas,2016-02-13T11:04:06+01:00,Jefferson Scott Davis,"Angla,Civitanaj komunikiloj,Edukado,Fotoj,Freŝa Novaĵo,Ideoj,Interreta aktivismo,Junuloj,Katastrofo,Makedona,Makedonio,Orienta kaj Centra Eŭropo,Politiko,Regado,Resumo",
https://eo.globalvoices.org/2016/02/2265/,Birmo: Matennebula sunleviĝo en la ĉefurbo de la lasta birma reĝlando,2016-02-13T13:15:37+01:00,ARASE Sayuki,"Angla,Arto kaj kulturo,Blogo,Civitanaj komunikiloj,Historio,Mjanmao (Birmo),Orienta Azio,Vojaĝo,Ĉefaĵo",
https://eo.globalvoices.org/2016/03/2281/,Listo de 100 pintaj dokumentaj filmoj “kiuj povas ŝanĝi la mondon”,2016-03-16T01:24:23+01:00,Herman Dekeŭnink,"Arto kaj kulturo,Cenzuro,Civitanaj komunikiloj,Disvolvado,Edukado,Ekonomio kaj komerco,En- kaj elmigrado,Etno kaj raso,Indiĝenoj,Interreta aktivismo,Komunikiloj kaj ĵurnalismo,Medio,Milito kaj konflikto,Politiko,Protesto,Religio,Teknikaro,Virinoj kaj genro",
https://eo.globalvoices.org/2016/04/2326/,La unua preĝejo de la Fluganta Spagetmonstro en Rusio,2016-04-07T20:25:54+02:00,Jefferson Scott Davis,"Angla,Civitanaj komunikiloj,Humuro,Orienta kaj Centra Eŭropo,Religio,RuNet Echo,Rusa,Rusio",
https://eo.globalvoices.org/2016/04/2323/,Japanio: Mape registri la lastajn spurojn de viktimoj de cunamo en 2011,2016-04-09T09:53:16+02:00,ARASE Sayuki,"Civitanaj komunikiloj,Japana,Japanio,Katastrofo,Komunikiloj kaj ĵurnalismo,Orienta Azio,Teknikaro,Ĉefaĵo",
https://eo.globalvoices.org/2016/06/2357/,Nepalo: Floroj de jakarando kolorigis la ĉefurbon bele blueta,2016-06-01T15:56:16+02:00,ARASE Sayuki,"Civitanaj komunikiloj,Medio,Nepalo,Suda Azio,Ĉefaĵo",
https://eo.globalvoices.org/2016/06/2373/,Kiel El-Ninjo influas birman altaĵon,2016-06-23T12:31:06+02:00,ARASE Sayuki,"Angla,Blogo,Civitanaj komunikiloj,Katastrofo,Medio,Mjanmao (Birmo),Orienta Azio,Ĉefaĵo",
https://eo.globalvoices.org/2016/08/2390/,Tiu klasika ukraina desegnofilmo povas helpi gepatrojn paroli pri homa ŝakrado,2016-08-10T00:26:12+02:00,Jefferson Scott Davis,"Angla,Arto kaj kulturo,Barato,Blogo,Civitanaj komunikiloj,Edukado,Egiptio,Filmo,Grekio,Humuro,Ideoj,Orienta kaj Centra Eŭropo,Ukraina,Ukrainio,Video",
https://eo.globalvoices.org/2016/08/2404/,La unua rusa pastafarismano faris foton por sia stirpermesilo kun kribrilo surkape,2016-08-12T15:15:17+02:00,Jefferson Scott Davis,"Angla,Civitanaj komunikiloj,Humuro,Interreta aktivismo,Orienta kaj Centra Eŭropo,Parollibereco,Religio,RuNet Echo,Rusa,Rusio,Ĉefaĵo",
https://eo.globalvoices.org/2016/08/2414/,Ĉu Bejruto estas la ĉefurbo por lingvoalternigo de la mondo?,2016-08-14T08:18:36+02:00,Jefferson Scott Davis,"Angla,Araba,Blogo,Civitanaj komunikiloj,Franca,Libano,Lingvo,Mezoriento kaj Nordafriko,Ĉefaĵo",
